[21:50:14.053]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:15.089]   info   [GS]       Skipped 9 duplicate messages..
[21:50:15.089]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:16.123]   info   [GS]       Skipped 9 duplicate messages..
[21:50:16.123]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:17.169]   info   [GS]       Skipped 9 duplicate messages..
[21:50:17.169]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:18.211]   info   [GS]       Skipped 9 duplicate messages..
[21:50:18.211]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:19.248]   info   [GS]       Skipped 9 duplicate messages..
[21:50:19.248]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:20.290]   info   [GS]       Skipped 9 duplicate messages..
[21:50:20.290]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:21.329]   info   [GS]       Skipped 9 duplicate messages..
[21:50:21.329]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:22.367]   info   [GS]       Skipped 9 duplicate messages..
[21:50:22.367]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:23.405]   info   [GS]       Skipped 9 duplicate messages..
[21:50:23.405]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:24.443]   info   [GS]       Skipped 9 duplicate messages..
[21:50:24.443]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:25.473]   info   [GS]       Skipped 9 duplicate messages..
[21:50:25.473]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:26.499]   info   [GS]       Skipped 9 duplicate messages..
[21:50:26.499]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:27.529]   info   [GS]       Skipped 9 duplicate messages..
[21:50:27.529]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:28.566]   info   [GS]       Skipped 9 duplicate messages..
[21:50:28.566]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:29.606]   info   [GS]       Skipped 9 duplicate messages..
[21:50:29.606]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:30.651]   info   [GS]       Skipped 9 duplicate messages..
[21:50:30.651]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:31.693]   info   [GS]       Skipped 9 duplicate messages..
[21:50:31.693]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:32.738]   info   [GS]       Skipped 9 duplicate messages..
[21:50:32.738]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:33.776]   info   [GS]       Skipped 9 duplicate messages..
[21:50:33.776]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:34.822]   info   [GS]       Skipped 9 duplicate messages..
[21:50:34.822]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:35.858]   info   [GS]       Skipped 9 duplicate messages..
[21:50:35.858]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:36.891]   info   [GS]       Skipped 9 duplicate messages..
[21:50:36.891]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:37.931]   info   [GS]       Skipped 9 duplicate messages..
[21:50:37.931]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:38.969]   info   [GS]       Skipped 9 duplicate messages..
[21:50:38.969]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:40.000]   info   [GS]       Skipped 9 duplicate messages..
[21:50:40.000]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:41.034]   info   [GS]       Skipped 9 duplicate messages..
[21:50:41.034]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:42.071]   info   [GS]       Skipped 9 duplicate messages..
[21:50:42.071]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:43.100]   info   [GS]       Skipped 9 duplicate messages..
[21:50:43.100]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:44.134]   info   [GS]       Skipped 9 duplicate messages..
[21:50:44.134]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:45.167]   info   [GS]       Skipped 9 duplicate messages..
[21:50:45.167]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:46.199]   info   [GS]       Skipped 9 duplicate messages..
[21:50:46.199]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:47.238]   info   [GS]       Skipped 9 duplicate messages..
[21:50:47.238]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:48.269]   info   [GS]       Skipped 9 duplicate messages..
[21:50:48.269]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:49.306]   info   [GS]       Skipped 9 duplicate messages..
[21:50:49.306]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:50.338]   info   [GS]       Skipped 9 duplicate messages..
[21:50:50.338]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:51.375]   info   [GS]       Skipped 9 duplicate messages..
[21:50:51.375]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:52.411]   info   [GS]       Skipped 9 duplicate messages..
[21:50:52.411]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:53.450]   info   [GS]       Skipped 9 duplicate messages..
[21:50:53.450]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:54.484]   info   [GS]       Skipped 9 duplicate messages..
[21:50:54.484]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:55.522]   info   [GS]       Skipped 9 duplicate messages..
[21:50:55.522]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:56.556]   info   [GS]       Skipped 9 duplicate messages..
[21:50:56.556]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:57.589]   info   [GS]       Skipped 9 duplicate messages..
[21:50:57.589]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:58.633]   info   [GS]       Skipped 9 duplicate messages..
[21:50:58.633]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:50:59.676]   info   [GS]       Skipped 9 duplicate messages..
[21:50:59.676]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:00.715]   info   [GS]       Skipped 9 duplicate messages..
[21:51:00.714]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:01.757]   info   [GS]       Skipped 9 duplicate messages..
[21:51:01.757]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:02.788]   info   [GS]       Skipped 9 duplicate messages..
[21:51:02.788]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:03.829]   info   [GS]       Skipped 9 duplicate messages..
[21:51:03.829]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:04.869]   info   [GS]       Skipped 9 duplicate messages..
[21:51:04.869]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:05.912]   info   [GS]       Skipped 9 duplicate messages..
[21:51:05.912]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:06.956]   info   [GS]       Skipped 9 duplicate messages..
[21:51:06.956]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:07.992]   info   [GS]       Skipped 9 duplicate messages..
[21:51:07.992]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:09.026]   info   [GS]       Skipped 9 duplicate messages..
[21:51:09.026]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:10.073]   info   [GS]       Skipped 9 duplicate messages..
[21:51:10.073]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:11.115]   info   [GS]       Skipped 9 duplicate messages..
[21:51:11.115]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:12.154]   info   [GS]       Skipped 9 duplicate messages..
[21:51:12.154]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:13.198]   info   [GS]       Skipped 9 duplicate messages..
[21:51:13.198]   info   [GS]       Phase 'WAIT_FOR_INIT' is marked DONE locally.
[21:51:14.239]   info   [GS]       Skipped 9 duplicate messages..
